Date mutation,Valeur Fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Type local,Surface reelle bati,Nombre pieces principales
19/01/2018 00:00,345000,10,RUE,450,DE L EGLISE,92210,SAINT-CLOUD,92,64,AH,539,Appartement,48,2
19/01/2018 00:00,330000,28,RUE,6230,MICHELET,92100,BOULOGNE-BILLANCOURT,92,12,AK,76,Appartement,50,2
09/01/2018 00:00,300000,121,RUE,651,DE BELLEVUE,92100,BOULOGNE-BILLANCOURT,92,12,AL,94,Appartement,45,2
25/01/2018 00:00,110036,63,RUE,620,DE JOUY,92370,CHAVILLE,92,22,AK,284,Appartement,31,2
31/01/2018 00:00,223000,123,RUE,7232,DU POINT DU JOUR,92100,BOULOGNE-BILLANCOURT,92,12,BG,65,Appartement,30,2
26/01/2018 00:00,277000,3,RUE,775,VILLA MARIE DE MEDICIS,92370,CHAVILLE,92,22,AE,370,Appartement,55,2
16/01/2018 00:00,390000,17,RUE,10,DES ABONDANCES,92100,BOULOGNE-BILLANCOURT,92,12,C,28,Appartement,54,2
26/01/2018 00:00,372000,33,RUE,10,DES ABONDANCES,92100,BOULOGNE-BILLANCOURT,92,12,B,8,Appartement,46,2
25/01/2018 00:00,325000,4,RUE,1155,VILLA DU ROI HENRI 4,92370,CHAVILLE,92,22,AE,370,Appartement,55,2
31/01/2018 00:00,320000,100,RUE,8561,DE SILLY,92100,BOULOGNE-BILLANCOURT,92,12,AK,258,Appartement,40,2
12/02/2018 00:00,335000,20,RUE,400,DE LA BOURGOGNE,92190,MEUDON,92,48,AL,62,Appartement,35,2
29/01/2018 00:00,331900,215,RUE,4110,GALLIENI,92100,BOULOGNE-BILLANCOURT,92,12,AK,234,Appartement,54,2
09/02/2018 00:00,354850,77,RUE,2580,DU DOME,92100,BOULOGNE-BILLANCOURT,92,12,BL,196,Appartement,44,2
07/02/2018 00:00,322000,26,RUE,1000,PASTEUR,92210,SAINT-CLOUD,92,64,AO,146,Appartement,64,2
22/02/2018 00:00,155000,21,RUE,830,MICHELET,92370,CHAVILLE,92,22,AI,103,Appartement,30,2
05/02/2018 00:00,384000,21,RUE,9620,VAUTHIER,92100,BOULOGNE-BILLANCOURT,92,12,R,4,Appartement,62,2
26/02/2018 00:00,225000,3,RUE,4420,DU HAMEAU FLEURI,92100,BOULOGNE-BILLANCOURT,92,12,AV,23,Appartement,26,2
02/03/2018 00:00,267000,25,RUE,8570,SOLFERINO,92100,BOULOGNE-BILLANCOURT,92,12,BG,23,Appartement,39,2
28/02/2018 00:00,240000,68,RUE,4110,GALLIENI,92100,BOULOGNE-BILLANCOURT,92,12,Y,94,Appartement,27,2
